POSSIBLE, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Crash, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Kefka, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Yoshimitsu, Game and Watch, Nathan Drake, Blue, Samus, Catherine, Knuckles, Ezio, Auron, L-Block; Teemo; Palutena, Dragonborn; Tom Nook; Pyramid Head, Yuna; Master Chief; Claire Redfield, Tifa Lockheart; Cirno; Chun-Li, Mario; Duke Nukem; Fawful, Vivi; Adam Jensen; Marisa Kirisame, Ganondorf; Guybrush; Max Payne, Squall; Rayman; Commander Video, Amaterasu; Vyse; Adol Cristin, Missingno; Tidus; Banjo, Creeper; Wario; King of all Cosmos, Red; Sissel; Corvo, Pit; Wrex; Cecil, Mega Man; Magikarp; Geno, Kratos; Travis Touchdown; Recette, Jill Valentine; Mike Haggar; Red Bird, Zero (MMX); Kratos Aurion; Boko, Weighted Companion Cube; Lenneth; Claptrap, ? Block; Rikku; Lyndis, Zelda; John Marston; Sackboy, Lightning; Donkey Kong; Falco, Charizard; Riku; Nier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
SuperNiceDog, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Game and Watch, Pac-Man, Fox, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Pit, Mega Man, Kratos, Red Bird, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, GlaDOS, Altair, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Link;
fortybelowsummer, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Garrus, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Ratchet, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Ridley, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Meat Boy, Nathan Drake, Fox, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, John Marston, Donkey Kong, Charizard, Link, Shepard, Ryu, Sonic, Mewtwo, Garrus, Sephiroth, Luigi, Wheatley, Snake, Epona, Zack, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Nathan Drake, Samus, L-Block, Dragonborn, Mario, Squall, Red, Mega Man, ? Block, Charizard, Link, Mewtwo, Sephiroth, Snake, Cloud, Pikachu, Samus, Mario, Charizard, Link, Snake, Mario, Link;
War, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, Chrom, Sub-Zero, Bowser, Sephiroth, Morrigan, Clementine, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, N, GlaDOS, Ike, Epona, Altair, Lara Croft, Ryu Hayabusa, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Groose, Lee Everett, Nathan Drake, Blue, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Epona, Ryu Hayabusa, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Blue, Samus, Auron, Tifa Lockheart, Mario, Missingno, Cecil, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Epona, Cloud, Sora, Samus, Mario, Charizard, Link, Epona, Mario, Link;
KBM, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, KOS-MOS, Mewtwo, The Boss, Garrus, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, N, GlaDOS, Robotnik, Epona, Ratchet, Lara Croft, Kefka, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Yu Narukami, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Yoshimitsu, Lee Everett, Pac-Man, Blue, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Wrex, Mega Man, Kratos, Red Bird, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Donkey Kong, Charizard, Link, Shepard, Mega Man X, Sonic, Mewtwo, Garrus, Sephiroth, Luigi, Wheatley, Snake, GlaDOS, Kefka, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Lee Everett, Samus, Auron, Dragonborn, Mario, Squall, Red, Mega Man, Zero (MMX), Zelda, Link, Sonic, Sephiroth, Snake, Cloud, Sora, Dragonborn, Mario, Mega Man, Link, Snake, Mario, Link;
CyberMonkey, Link, Raiden, Yoshi, Shepard, Juliet, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Miles Edgeworth, Clementine, Luigi, Big Boss, Locke, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Yoshimitsu, Lee Everett, Nathan Drake, Fox, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, Epona, Zack, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Creeper, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Link;
raytan, Link, Raiden, Yoshi, Shepard, Tharja, Hero, Draven, Ryu, Mega Man X, Sonic, Lucina, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Clementine, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, N, GlaDOS, Ike, Epona, Shulk, Lara Croft, Zack, Cloud, Handsome Jack, Sly Cooper, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Otacon, Sora, Gilgamesh, Groose, Lee Everett, Nathan Drake, Blue, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Tom Nook, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Hero, Ryu, Sonic, Mewtwo, Bowser, Sephiroth, Big Boss, Kirby, Snake, GlaDOS, Shulk, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Blue, Samus, L-Block, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Zelda, Link, Sonic, Sephiroth, Snake, Cloud, Pikachu, Samus, Mario, Mega Man, Link, Cloud, Samus, Link;
jonthomson, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Jigglypuff, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Garrus, Bowser, Sephiroth, Morrigan, Clementine, Luigi, Big Boss, CATS, Thrall, Kirby, Vercetti, Snake, Alucard, Bayonetta, GlaDOS, Robotnik, Niko, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Groose, Meat Boy, Pac-Man, Fox, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Pit, Mega Man, Kratos, Red Bird, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Donkey Kong, Charizard, Link, Aerith, Ryu, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, GlaDOS, Zack, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Fox, Samus, L-Block, Master Chief, Mario, Squall, Red, Mega Man, Zero (MMX), Zelda, Link, Vincent, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Mega Man, Link, Cloud, Mario, Cloud;
paulg, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Falcon, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Ryu Hayabusa, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Otacon, Sora, Gilgamesh, Groose, Lee Everett, Pac-Man, Blue, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, GlaDOS, Ryu Hayabusa, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Blue, Samus, Auron, Tifa Lockheart, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Snake;
Lockes Ragnarok, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Lucina, Barret, Phoenix, Vincent, Mewtwo, Chrom, Sub-Zero, Bowser, Sephiroth, Miles Edgeworth, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Crash, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Simon Belmont, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Lee Everett, Nathan Drake, Blue, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Tidus, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Claptrap, ? Block, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Epona, Zack, Cloud, Dante, Leon Kennedy, Crono, Sora, Blue, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Crono, Samus, Mario, Mega Man, Link, Snake, Mega Man, Link;
Steevo, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Clementine, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, N, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Lee Everett, Nathan Drake, Blue, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, GlaDOS, Zack, Cloud, Dante, Leon Kennedy, Crono, Sora, Blue, Samus, Auron, Master Chief, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Crono, Samus, Mario, Charizard, Link, Cloud, Mario, Link;
blazing phoenix, Link, Raiden, Yoshi, Shepard, Juliet, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Clementine, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, N, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Lee Everett, Nathan Drake, Fox, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Wrex, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, Ike, Lara Croft, Cloud, Dante, Leon Kennedy, Crono, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Crono, Samus, Mario, Mega Man, Link, Cloud, Mario, Link;
Osfan, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Chie, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Agent 47, Clementine, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Ridley, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Lee Everett, Pac-Man, Fox, Samus, Vaas, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Epona, Zack, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Snake;
ngirl, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Clementine, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Lee Everett, Nathan Drake, Blue, Samus, Vaas, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Aerith, Ryu, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Epona, Zack, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Nathan Drake, Samus, Auron, Tifa Lockheart, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Epona, Cloud, Pikachu, Samus, Mario, Charizard, Link, Cloud, Mario, Link;
Pizzaknight, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, Chrom, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Crash, Snake, Falcon, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Ryu Hayabusa, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Lee Everett, Pac-Man, Fox, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, GlaDOS, Lara Croft, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Dragonborn, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Snake;
eaedwards, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Lucina, Barret, Marth, Vincent, Mewtwo, Chrom, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Crash, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Francis York Morgan, Dante, Squirtle, Zidane, Yu Narukami, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Yoshimitsu, Lee Everett, Nathan Drake, Blue, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Tom Nook, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Pit, Mega Man, Kratos, Mike Haggar, Zero (MMX), Weighted Companion Cube, Lyndis, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Chrom, Sephiroth, Big Boss, Kirby, Snake, Epona, Zack, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Nathan Drake, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Lightning, Link, Sonic, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Lightning, Link, Snake, Mario, Link;
homsar, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Vercetti, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Otacon, Sora, Booker DeWitt, Groose, Game and Watch, Pac-Man, Fox, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Ike, Zack, Cloud, Dante, Leon Kennedy, Crono, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Crono, Samus, Mario, Mega Man, Link, Snake, Mario, Link;
DpObliVion, Link, Raiden, Yoshi, Shepard, Tiny Tina, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Thrall, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Ridley, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Groose, Lee Everett, Nathan Drake, Fox, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, GlaDOS, Zack, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Mega Man, Link, Snake, Mario, Link;
Xeybozn, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Agent 47, Spyro, Luigi, Big Boss, Ness, Thrall, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Game and Watch, Pac-Man, Fox, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Ike, Zack, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Cecil, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Mega Man, Link, Snake, Mario, Snake;
SephG, Link, Raiden, Yoshi, Shepard, Juliet, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Nightmare, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Reyn, Luigi, Big Boss, Ness, Thrall, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Slime, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Yu Narukami, Leon Kennedy, Hades, Crono, Pikachu, Otacon, Sora, Booker DeWitt, Yoshimitsu, Game and Watch, Nathan Drake, Fox, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Wrex, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, GlaDOS, Zack, Cloud, Dante, Leon Kennedy, Crono, Sora, Fox, Samus, Auron, Dragonborn, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Crono, Samus, Mario, Charizard, Link, Cloud, Mario, Link;
Midget_Fetish (SSS), Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, Heavy, Garrus, Bowser, Sephiroth, Miles Edgeworth, Spyro, Luigi, Big Boss, Ness, Elizabeth, Terra, Wheatley, Snake, Falcon, N, GlaDOS, Ike, Epona, Altair, Lara Croft, Ryu Hayabusa, Cloud, Handsome Jack, Lugia, Dante, Squirtle, Zidane, Yu Narukami, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Otacon, Sora, Booker DeWitt, Groose, Lee Everett, Nathan Drake, Blue, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Adam Jensen, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Pit, Mega Man, Kratos, Red Bird, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Garrus, Sephiroth, Big Boss, Elizabeth, Snake, GlaDOS, Lara Croft, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Blue, Samus, Auron, Dragonborn, Mario, Missingno, Creeper, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Mega Man, Link, Snake, Mario, Link;
